Year,State,Adoption Total,Returned To Owner Total,Returned To Field Total,Transferred Out Total,Other Live Outcome Total,Others,Animal Type
2022,Connecticut,1090,231,0,131,41,822,Canine
2019,Delaware,470,36,0,0,0,246,Canine
2020,Delaware,403,25,0,2,0,234,Canine
2021,Delaware,517,23,0,3,0,238,Canine
2022,Delaware,393,13,0,25,0,188,Canine
2019,Florida,37343,8178,9,8071,1450,29482,Canine
2020,Florida,29484,6801,0,6586,1633,17036,Canine
2021,Florida,30586,7612,1,6514,2562,19406,Canine
2022,Florida,28858,6940,1,6062,1420,15316,Canine
2019,Georgia,25474,5410,1,9354,15,9212,Canine
2020,Georgia,19678,4156,0,7066,68,6142,Canine
2021,Georgia,19602,4503,2,5822,1120,7504,Canine
2022,Georgia,18434,4132,0,5110,373,6040,Canine
2019,Hawaii,4761,3062,0,639,0,16250,Canine
2020,Hawaii,3686,1990,0,414,1,8112,Canine
2021,Hawaii,3628,2168,19,460,0,6474,Canine
2022,Hawaii,4252,2282,1,558,0,4712,Canine
2019,Iowa,5801,2850,0,309,27,4302,Canine
2020,Iowa,5213,2474,0,140,0,3296,Canine
2021,Iowa,5775,2609,0,389,0,3324,Canine
2022,Iowa,6094,2865,0,624,39,2460,Canine
2019,Idaho,7964,5083,5,679,630,9838,Canine
2020,Idaho,6731,4018,4,654,462,5488,Canine
2021,Idaho,6817,4550,1,463,157,5076,Canine
2022,Idaho,7326,4297,1,623,575,3364,Canine
2019,Illinois,15597,1657,0,790,45,4912,Canine
2020,Illinois,14966,1281,0,826,3,3080,Canine
2021,Illinois,14823,1612,0,898,220,3542,Canine
2022,Illinois,14949,2118,0,797,835,4008,Canine
2019,Indiana,14624,7244,0,4576,56,10560,Canine
2020,Indiana,9626,5879,1,3327,41,6850,Canine
2021,Indiana,10991,6313,65,2880,309,9008,Canine
2022,Indiana,11378,5735,0,2465,131,9174,Canine
2019,Kansas,8515,2756,0,1484,6,4024,Canine
2020,Kansas,6016,1685,0,1199,1,1908,Canine
2021,Kansas,6870,1883,0,1042,42,2334,Canine
2022,Kansas,7615,1895,82,1123,87,1902,Canine
2019,Kentucky,10382,2501,0,6048,71,7374,Canine
2020,Kentucky,7695,2763,2,5348,20,4290,Canine
2021,Kentucky,7716,3019,0,4549,2,4828,Canine
2022,Kentucky,8452,2917,1,4139,11,3602,Canine
2019,Louisiana,8701,3287,19,5735,182,10620,Canine
2020,Louisiana,6417,2327,63,5004,168,4954,Canine
2021,Louisiana,6624,2809,5,6349,37,4544,Canine
2022,Louisiana,6195,2431,50,5007,93,3552,Canine
2019,Massachusetts,4608,386,0,274,1,2408,Canine
2020,Massachusetts,3651,282,0,111,2,1860,Canine
2021,Massachusetts,3193,236,0,137,0,1482,Canine
2022,Massachusetts,2942,258,0,132,0,1676,Canine
2019,Maryland,5580,2256,0,1259,73,4450,Canine
2020,Maryland,3685,1732,0,1137,16,3326,Canine
2021,Maryland,4170,1879,2,938,10,3508,Canine
2022,Maryland,5230,2197,0,988,6,3270,Canine
2019,Maine,2166,435,0,47,8,492,Canine
2020,Maine,1225,382,0,19,2,346,Canine
2021,Maine,1238,362,0,12,18,448,Canine
2022,Maine,1477,329,0,49,8,444,Canine
2019,Michigan,15312,4090,1,2145,64,8000,Canine
2020,Michigan,12324,3199,0,1988,33,5262,Canine
2021,Michigan,13618,3469,0,1229,16,5352,Canine
2022,Michigan,12839,3682,13,1461,41,5650,Canine
2019,Minnesota,4318,1528,1,403,1,1296,Canine
2020,Minnesota,4897,1019,8,303,3,868,Canine
2021,Minnesota,4476,1121,0,449,1,830,Canine
2022,Minnesota,4171,1129,0,475,75,990,Canine
2019,Missouri,9747,3473,32,1544,1916,5908,Canine
2020,Missouri,9706,2845,19,1359,2073,4518,Canine
2021,Missouri,10205,3211,12,1178,2119,3850,Canine
2022,Missouri,10713,4078,23,1179,2521,3488,Canine
2019,Mississippi,5127,1125,0,7605,2,2460,Canine
2020,Mississippi,4901,1021,0,5928,0,1532,Canine
2021,Mississippi,4945,1035,13,5662,5,1746,Canine
2022,Mississippi,4968,883,16,4070,2,1594,Canine
2019,Montana,3839,2819,0,142,52,1278,Canine
2020,Montana,2671,2337,0,119,24,818,Canine
2021,Montana,2914,2486,0,146,135,730,Canine
2022,Montana,3266,2439,0,173,302,1002,Canine
2019,North Carolina,22944,7183,1,9770,108,23826,Canine
2020,North Carolina,19315,5288,1,6997,2,11366,Canine
2021,North Carolina,20459,5722,6,5346,6,13976,Canine
2022,North Carolina,21361,6198,66,5125,15,11764,Canine
2019,North Dakota,1365,349,0,96,12,234,Canine
2020,North Dakota,1366,315,0,18,0,234,Canine
2021,North Dakota,1513,313,0,32,0,214,Canine
2022,North Dakota,1744,334,0,18,0,208,Canine
2019,Nebraska,2078,1718,0,19,0,4088,Canine
2020,Nebraska,2124,1464,0,88,0,2350,Canine
2021,Nebraska,1883,1667,0,50,0,1514,Canine
2022,Nebraska,2111,1597,0,50,1,1536,Canine
2019,New Hampshire,2047,627,0,111,0,412,Canine
2020,New Hampshire,1505,471,0,39,18,262,Canine
2021,New Hampshire,1397,464,0,43,2,358,Canine
2022,New Hampshire,1256,441,1,30,9,286,Canine
2019,New Jersey,7096,1797,2,3324,3,4482,Canine
2020,New Jersey,6579,1299,0,3040,1,3142,Canine
2021,New Jersey,5973,1524,1,2217,0,2816,Canine
2022,New Jersey,5880,1824,3,1747,1,3308,Canine
2019,New Mexico,6624,4429,3,5620,1104,9000,Canine
2020,New Mexico,5693,3033,0,4486,424,5084,Canine
2021,New Mexico,5237,3301,11,4617,239,3994,Canine
2022,New Mexico,5142,3131,0,3416,328,4120,Canine
2019,Nevada,10502,5140,0,2502,30,4348,Canine
2020,Nevada,6496,3614,0,1504,13,3474,Canine
2021,Nevada,5538,4053,0,1606,7,3634,Canine
2022,Nevada,8221,3977,0,2112,0,4318,Canine
2019,New York,14941,3289,32,2964,145,10788,Canine
2020,New York,10095,2470,0,2314,54,7720,Canine
2021,New York,10572,2510,2,2289,28,7012,Canine
2022,New York,10812,2485,0,2356,60,7210,Canine
2019,Ohio,14067,1634,0,956,122,4070,Canine
2020,Ohio,12259,1300,0,709,30,2566,Canine
2021,Ohio,11804,1563,5,629,51,2840,Canine
2022,Ohio,13100,1726,1,1059,40,2942,Canine
2019,Oklahoma,4166,670,0,3638,32,1780,Canine
2020,Oklahoma,4234,585,0,2412,26,974,Canine
2021,Oklahoma,4387,740,0,1869,32,1196,Canine
2022,Oklahoma,4334,1001,58,1110,22,1024,Canine
2019,Oregon,9451,2839,0,465,10,3418,Canine
2020,Oregon,5870,2224,0,328,5,2648,Canine
2021,Oregon,5704,2198,1,181,14,2478,Canine
2022,Oregon,6606,2684,1,270,2,2412,Canine
2019,Pennsylvania,11593,1917,1,433,8,5444,Canine
2020,Pennsylvania,9806,1534,0,352,19,3438,Canine
2021,Pennsylvania,9160,1680,26,243,38,3774,Canine
2022,Pennsylvania,9375,1811,0,312,27,3424,Canine
2019,Rhode Island,1860,667,0,185,6,396,Canine
2020,Rhode Island,1629,494,0,123,6,310,Canine
2021,Rhode Island,1544,434,0,210,2,286,Canine
2022,Rhode Island,1649,547,0,130,4,256,Canine
2019,South Carolina,13857,3101,1,6649,75,8896,Canine
2020,South Carolina,10380,2612,2,6204,1889,6990,Canine
2021,South Carolina,10579,2905,3,5922,129,7536,Canine
2022,South Carolina,11446,3030,0,5298,318,5074,Canine
2019,South Dakota,349,23,0,183,0,68,Canine
2020,South Dakota,345,10,1,159,0,36,Canine
2021,South Dakota,490,13,0,262,0,80,Canine
2022,South Dakota,499,19,0,224,20,94,Canine
2019,Tennessee,15370,5390,137,9342,1278,6826,Canine
2020,Tennessee,12135,4491,17,7496,1320,4608,Canine
2021,Tennessee,11674,4867,6,7225,1103,4712,Canine
2022,Tennessee,12958,4456,8,6328,923,5088,Canine
2019,Texas,84448,32881,7,50979,5020,39670,Canine
2020,Texas,62796,19889,16,53798,2603,18746,Canine
2021,Texas,57772,17191,11,40349,3503,23346,Canine
