Year,State,Relinquished By Owner Total,Stray At Large Total,Transferred In Total,Owner Intended Euthanasia Total,Other Intakes Total,Animal Type
2019,Rhode Island,1059,506,794,50,189,Feline
2020,Rhode Island,864,475,649,6,322,Feline
2021,Rhode Island,1048,633,908,2,248,Feline
2022,Rhode Island,1108,647,1199,1,254,Feline
2019,South Carolina,4814,13298,1135,90,1474,Feline
2020,South Carolina,4046,12384,1178,67,507,Feline
2021,South Carolina,4177,14662,1057,36,394,Feline
2022,South Carolina,4312,13714,778,53,771,Feline
2019,South Dakota,295,274,52,0,4,Feline
2020,South Dakota,411,159,27,0,19,Feline
2021,South Dakota,523,245,79,0,18,Feline
2022,South Dakota,731,241,32,0,109,Feline
2019,Tennessee,5435,14373,1343,98,3149,Feline
2020,Tennessee,4062,11051,1249,43,3712,Feline
2021,Tennessee,4798,10888,1619,101,4250,Feline
2022,Tennessee,4941,11997,1315,62,3255,Feline
2019,Texas,27164,71078,18204,2365,7547,Feline
2020,Texas,20460,49594,21700,740,6490,Feline
2021,Texas,20470,54539,21109,789,7560,Feline
2022,Texas,20108,43940,19636,906,6558,Feline
2019,Utah,3446,9632,6744,1191,2211,Feline
2020,Utah,3710,7768,11136,597,900,Feline
2021,Utah,4871,9113,6439,402,2053,Feline
2022,Utah,4799,9595,6139,312,2364,Feline
2019,Virginia,4943,6281,6653,64,757,Feline
2020,Virginia,4339,5675,7553,44,521,Feline
2021,Virginia,4691,5917,6288,42,892,Feline
2022,Virginia,5059,6292,6923,116,963,Feline
2019,Vermont,1290,803,339,15,486,Feline
2020,Vermont,1061,704,528,7,291,Feline
2021,Vermont,1306,772,618,1,121,Feline
2022,Vermont,1095,685,569,6,165,Feline
2019,Washington,12231,22699,15167,952,1742,Feline
2020,Washington,10207,17228,10940,820,1550,Feline
2021,Washington,11813,19063,11977,755,1526,Feline
2022,Washington,13116,21756,11775,601,2738,Feline
2019,Wisconsin,7447,13825,1696,622,925,Feline
2020,Wisconsin,6999,12869,2752,554,1201,Feline
2021,Wisconsin,7042,13303,2327,515,1691,Feline
2022,Wisconsin,6696,14018,2425,402,1977,Feline
2019,West Virginia,2075,3213,10,0,289,Feline
2020,West Virginia,1824,3374,53,0,489,Feline
2021,West Virginia,1681,3549,171,0,366,Feline
2022,West Virginia,1256,3275,205,0,227,Feline
2019,Wyoming,1080,1874,364,26,1140,Feline
2020,Wyoming,819,1458,394,24,1112,Feline
2021,Wyoming,894,1240,557,19,1120,Feline
2022,Wyoming,996,1350,414,15,765,Feline
2019,All,288608,554746,223541,38750,97177,Canine
2020,All,209161,381152,195510,30025,78643,Canine
2021,All,223449,411551,181566,27589,87919,Canine
2022,All,226482,459659,166969,24798,93144,Canine
2019,Alaska,349,168,201,0,14,Canine
2020,Alaska,378,73,244,0,20,Canine
2021,Alaska,395,112,262,0,13,Canine
2022,Alaska,399,111,257,0,26,Canine
2019,Alabama,1960,6642,762,1,344,Canine
2020,Alabama,2432,5222,1334,2,731,Canine
2021,Alabama,1789,4627,1066,0,2466,Canine
2022,Alabama,1524,5321,597,0,2439,Canine
2019,Arkansas,1480,7106,251,2,437,Canine
2020,Arkansas,1658,4099,422,15,209,Canine
2021,Arkansas,1719,4397,394,31,285,Canine
2022,Arkansas,1864,4899,373,34,379,Canine
2019,Arizona,21701,29611,7773,2259,3514,Canine
2020,Arizona,10770,24287,7298,1995,3554,Canine
2021,Arizona,12141,27539,6141,1055,4640,Canine
2022,Arizona,10888,28709,6019,696,4954,Canine
2019,California,39645,109987,17850,7882,11206,Canine
2020,California,24023,67061,13900,5626,8406,Canine
2021,California,25800,71353,11903,5514,8724,Canine
2022,California,28831,88100,13340,4375,9621,Canine
2019,Colorado,9612,15675,8422,627,4066,Canine
2020,Colorado,7367,11336,8910,441,3495,Canine
